,Jun-08,Sep-08,Dec-08,Mar-09,Jun-09,Sep-09,Dec-09,Mar-10,Jun-10,Sep-10,Dec-10,Mar-11,Jun-11
All Customers customer experience score,72.8,73.9,74.9,76,76.4,75.2,75.3,76,74.2,72.5,71.5,71.6,72.4
All Customers confidence interval (+/-),1.9,1.9,1.8,1.8,1.8,1.9,1.9,1.9,2,1.8,2.2,2.3,2.4
Individuals customer experience score,73,74,73.3,74.5,76.5,75.6,75.3,75.3,74.7,73.1,70,68.3,70.7
Individuals confidence interval (+/-),1.7,1.7,1.7,1.7,1.7,1.7,1.6,1.7,1.7,1.8,2,2.3,2.4
SME Business customer experience score,78.3,80.6,82.7,82.7,82.6,81.8,82,83,81,79.5,78.8,78.7,78.8
SME Business confidence interval (+/-),1.9,1.9,1.8,1.8,1.8,1.9,1.9,1.9,2,1.8,2.2,2.3,2.3
Agents customer experience score,67,67,68.8,70.8,70,68.2,68.7,69.7,67.1,64.7,65.6,67.8,67.7
Agents confidence interval (+/-),1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.9,2.1,2.1
